,Title,Address,Rent(Rs),Deposit(Rs),Size(Acres),Furnishing,Property age,Available for
704,"1 BHK in Sekar Illam, Pattalam","Angalamman Koil 2nd Layout, Jainagar, Near Anjaneyar Koil",11000,50000,600,Semi Furnished,1-3 years ,Family
705,1 BHK in Triplicane,"Standalone Building, Triplicane High Rd Near Ratna Cafe",11000,50000,450,UnFurnished,5-10 years ,All
706,"2 BHK in Adityaa Apartment, Pallikaranai","Near Sree Balaji Dental College , Velachery Rd, Narayanapuram",13000,78000,900,Semi Furnished,5-10 years ,Family
707,1 BHK in Raja Annamalai Puram,"Independent House, Adanjan St, Mandaveli, Near Arulmigu Sri Venka ...",12500,75000,500,UnFurnished,Newly Constructed,Family
708,1 BHK in Velachery,"Independent House, First St Mgr Nagar, Venkateswara Nagar, Near P ...",9500,30000,510,Semi Furnished,3-5 years ,Bachelors
709,1 BHK in Velachery,"Independent House, Sheshadripuram Main Rd, Near Sachidananda Ashr ...",10500,30000,710,Semi Furnished,5-10 years ,Bachelors
710,"2 BHK in AVS Srinivas, Perungudi","Kurinji Nagar, 1st Cross Street,near Apollo Speciality Hospital",18000,54000,1200,Semi Furnished,3-5 years ,Family
711,"2 BHK in Ancor bob classic, Kodambakkam","Rangarajapuram Main Rd Kg Ntr Heritage, Boopathy Nagar, Near Mor ...",26000,150000,940,Semi Furnished,5-10 years ,All
712,3 BHK in Velachery,"Independent House, Barani Street, Bharathi Nagar, Near Tata Consu ...",-,2000000,1000,Semi Furnished,Newly Constructed,All
713,"2 BHK in Akshaya Trisha, Pallikaranai",Akshaya Trisha,15000,100000,957,Semi Furnished,5-10 years ,Family
714,1 BHK in Guindy,"Standalone Building, Race View Colony, Near Sri Bavani Muthu Mari ...",5000,20000,350,UnFurnished,1-3 years ,Bachelors
715,2 BHK in Chintadripet,"Standalone Building, W Coovam River Rd Near Amma Unavagam",12500,100000,550,UnFurnished,>10 years ,Family
716,"4 BHK in Ceebros Saptagiri Heights, Sholinganallur","Tnhb, Sholinganallur, Chennai, Tamil Nadu 600119, India",40000,150000,2733,Semi Furnished,Newly Constructed,Company
717,"3 BHK in Arihant Housing Panache, Arumbakkam","Panchali Amman Koil Street, Near Arulmigu Sri Paanchali Amman Thi ...",36000,300000,1400,Semi Furnished,3-5 years ,All
718,"2 BHK in Green House Apartments, Pallikaranai","Santhosh St, Manohar Nagar Extension, V.g.p Shanti Nagar, Pallika ...",10000,70000,900,Semi Furnished,3-5 years ,Family
719,"2 BHK in Apartment, Velachery","Vgp Selva Nagar, Near V G P Selva Nagar Park And D.a.v. Public ...",18000,108000,1200,Semi Furnished,3-5 years ,Family
720,"2 BHK in Apartment, Velachery","Vgp Selva Nagar, Near V G P Selva Nagar Park And D.a.v. Public ...",18000,108000,1200,Semi Furnished,3-5 years ,Family
721,"2 BHK in Pammal Court Apartments, Purasaiwakkam","Raja Annamalai Rd, Near Msr Kalyana Mandapam",27000,270000,1297,Semi Furnished,>10 years ,Family
722,"3 BHK in Purnima Enclave, Velachery","Velachery - Tambaram Main Rd, Near The Chennai Silks",21000,50000,1170,Semi Furnished,Newly Constructed,Bachelors
723,1 RK in Moulivakkam,"Independent House, Kavery Street Near Arulmigu Sri Vempuli Nagatt ...",4500,30000,400,UnFurnished,>10 years ,All
724,"1 RK in Tnhb Lig Flat, Sholinganallur","Sholinganallur, Chennai, Tamil Nadu, India",10000,1,598,Semi Furnished,1-3 years ,Bachelors
725,1 BHK in Manali,"Independent House, Apparaju Street, Near Perunthalaivar Kamarajar ...",5000,25000,450,UnFurnished,5-10 years ,Family
726,4 BHK in Padiyanallur,"Independent House, Pt Murthy Nagar, Near Government High School",15000,90000,2900,UnFurnished,>10 years ,Family
727,1 BHK in West Saidapet,"Standalone Building, Kamaraj Street, Ethiraj Nagar,near R6 Kumara ...",8000,50000,350,UnFurnished,Newly Constructed,Family
728,2 BHK in Triplicane,"Independent House, Irrusappa St Near Nkt National Girls Higher S ...",13000,100000,850,UnFurnished,>10 years ,Family
729,"3 BHK in Alliance Orchid Springs, Korattur","No.54, Water Canal Road, Tvs Nagar, Korattur, Chennai, Tamil Nadu ...",25000,200000,1541,Semi Furnished,1-3 years ,Family
730,1 BHK in Madhavaram,"Standalone Building, Nasilamani, Near Vruksha Vidhyaashram School ...",-,500000,600,Semi Furnished,1-3 years ,All
731,"2 BHK in Nishanthini aishwarium, Puzhal",Parimalam Nagar Near Velammal Newgen School Surapet,10000,60000,850,UnFurnished,3-5 years ,Family
732,"2 BHK in Darsana Apartments, Medavakkam",Perumbakkam Main Rd Near Perumbakkam Advent Christian Church,14000,60000,936,Semi Furnished,1-3 years ,All
733,2 BHK in Adambakkam,"Independent House, Karikalan East 1st Cross St, Near Sp Hospital ...",15000,50000,850,Semi Furnished,5-10 years ,Family
734,1 BHK in Madanandapuram,"Independent House, Lalitha Nagar,near Mitra Medicals",-,500000,1150,UnFurnished,>10 years ,Family
735,1 BHK in Ramapuram,"Independent House, Tamil Nagar , Near Dlf It Park",8500,50000,670,UnFurnished,5-10 years ,Family
736,2 BHK in T.Nagar,"Independent House, Madley Road, Near T.nagar Bus Stand,near Sss J ...",13000,80000,918,Semi Furnished,>10 years ,Family
737,3 BHK in Neelankarai,"Independent House, Ranjith Nagar, Chinna Neelangarai Near Newgen ...",45000,270000,1900,Semi Furnished,>10 years ,Family
738,1 BHK in Velachery,"Independent House, 70th Street, Tnhb Colony, Near St. Britto?s Ac ...",9000,90000,500,UnFurnished,3-5 years ,Family
739,"2 BHK in Keerthi Lingas, Pallikaranai","Plot No: 82, 5th Cross Street, Kamakoti Nagar, Pallikaranai, Chen ...",-,1100000,986,Semi Furnished,5-10 years ,Family
740,"2 BHK in Jains Anumita, Perungudi","W33 29, Panchayat Road, Perungudi, Chennai-600096, Tamil Nadu, I ...",16000,80000,900,Semi Furnished,5-10 years ,Family
741,"3 BHK in colour Homes, New Perungalathur",Parvathy Nagar Near Euro Kids,13000,65000,1200,Semi Furnished,1-3 years ,Family
742,2 BHK in Chromepet,"Independent House, Muthuswamy Nagar, Near Donbosco School And ...",7000,21000,900,UnFurnished,Newly Constructed,Family
743,"2 BHK in Maple Leaf, Thirumullaivoyal","Cholambedu Main Road , Kulakarai St , Near Pachaiamman Temple",9500,95000,920,Semi Furnished,Newly Constructed,Family
744,"3 BHK in Vruksham, Thiruvanmiyur","Plot No.1 & 2, Bharathi Nagar, 2nd Cross Street, Thiruvanmiyur , ...",34000,200000,1700,Semi Furnished,1-3 years ,All
745,"1 BHK in GJ nivas, Kovur","Kundrathur Main Rd, Near Sri Krish International School Cbse",-,300000,450,UnFurnished,1-3 years ,Family
746,"3 BHK in Krisnika apartments, Nungambakkam",Tirumurthy Nagar Near Vijay Tv (star Tv Network),45000,300000,1650,Semi Furnished,>10 years ,All
747,1 BHK in Choolaimedu,"Standalone Building, Indira Gandhi 3rd St, Near Kun Hyundai, Arum ...",11000,110000,720,Semi Furnished,3-5 years ,Family
748,"2 BHK in Silaja Apartment, Tambaram","Narmada Street, Balaji Nagar, Irumbuliyur Near Santhosh Vidyalaya ...",8000,24000,900,Semi Furnished,1-3 years ,All
749,"2 BHK in Skr Sun Bright Garden, Kattupakkam","Pavendar Nagar, Sendurpuram Extension, Kattupakkam, Chennai, Tami ...",10000,100000,724,UnFurnished,Newly Constructed,Family
750,1 BHK in Choolaimedu,"Independent House, Jayalakshmi Nagar Near Gill Nagar Park",7800,40000,350,UnFurnished,1-3 years ,All
751,3 BHK in Royapettah,"Independent House, Sundareswarar Kovil Street Near E2 Police Stat ...",38000,400000,1800,UnFurnished,>10 years ,Family
752,"3 BHK in Appaswamy Greensville, Sholinganallur","No.189, Old Mahabalipuram Road, Rajiv Gandhi Salai, Sholinganallu ...",31000,200000,1627,Semi Furnished,Under Construction,Family
753,2 BHK in Perungalathur New,"Independent House, Amman Koil Street Near Swami Vivekananda Vidya ...",10000,40000,900,UnFurnished,5-10 years ,Family
754,"3 BHK in Forest Woods, Nungambakkam","No.7/4, Thirumurthy Nagar, 6th Street, Nungambakkam, Chennai, Tam ...",75000,750000,1500,Semi Furnished,Newly Constructed,Family
755,"3 BHK in Sahana Spring, Manapakkam","4th Cross Right,near Sumeru Bhavans And Perumal Bajanai Temple",18000,50000,1200,UnFurnished,1-3 years ,All
756,2 BHK in Chintadripet,"Independent House, Swami Naiken Street, Near Chintadripet Sub Pos ...",13000,130000,600,UnFurnished,5-10 years ,Family
757,2 BHK in Tiruvottiyur,"Standalone Building, Thiruvottiyur High Rd,tsr Nagar,724e,near Su ...",15000,150000,1200,Semi Furnished,Newly Constructed,All
758,"2 BHK in Majestic Garden, Saligramam","Muthukumarappa Street, Arcot Rd, Saligramam, Chennai, Tamil Nadu ...",17500,150000,850,Semi Furnished,>10 years ,All
759,"3 BHK in sree balaji flats, Porur","Allapakkam, Ganapathy Nagar, Near Rajiv School Of Excellence",14000,60000,1145,Semi Furnished,3-5 years ,Family
760,"2 BHK in Indus Atlantis, Poonamallee","Lourdupuram, Poonamallee, Chennai, Tamil Nadu, India.",23000,100000,1080,Semi Furnished,3-5 years ,Family
761,"3 BHK in Sidharth Upscale, Porur","Porur, Chennai, Tamil Nadu, India.",26000,260000,1532,Semi Furnished,Newly Constructed,Family
762,1 RK in T Nagar,"Independent House, Sir Thyagaraya Road, Pondy Bazaar,near Post Of ...",5500,11000,200,Semi Furnished,>10 years ,Bachelors
763,2 BHK in Medavakkam,"Independent House, Bhavani Amman Koil St Near Medavakkam Sub Pos ...",13000,75000,700,Semi Furnished,1-3 years ,Family
764,"2 BHK in Malles A.V Gardens, Mugalivakkam","Malles A.v Gardens, 1st Cross St, Malles Av Garden, Mugalivakkam, ...",12000,100000,830,Semi Furnished,Newly Constructed,Family
765,"2 BHK in Santoshi matha Apartments, Virugambakkam","Swarnambigai Nagar, Near Hera Hospital",11000,55000,850,UnFurnished,>10 years ,Family
766,"2 BHK in maha flats, Alandur","Kannan Colony,5th Street, Near Hotel Saravana Bhavan",15000,150000,930,Semi Furnished,3-5 years ,Family
767,"2 BHK in Jothi flats, Perambur","St Marys School St, Near Chevalier T Thomas Elizabeth College",13000,75000,1150,Semi Furnished,5-10 years ,Family
768,2 BHK in Pozhichalur,"Standalone Building, Andal Nagar Near Venkatachalapathy Kalyana M ...",9000,30000,700,UnFurnished,3-5 years ,Family
769,"2 BHK in Bay View Manor, Besant Nagar","Sixth Avenue, Elliot's Beach Road, Besant Nagar, Chennai",16000,96000,750,Semi Furnished,>10 years ,Family
770,4 BHK in Kolathur,"Independent House, Vivekananda Main Road,near Indian Oil Petrol",40000,400000,4000,Full Furnished,1-3 years ,Family
771,"2 BHK in Sri Vittal Rivera, Adambakkam","New Ngo Colony, Ist Main Road, Near Sri Devi Naga Muthumaari Amma ...",13000,80000,700,Semi Furnished,5-10 years ,Family
772,1 BHK in K K Nagar,"Standalone Building, 5th Street,near Hotel Saravana Bhavan",8000,40000,500,UnFurnished,>10 years ,Family
773,"2 BHK in Svastika Meenakshi Apartment, Mangadu","Sri Kamatchi Amman Nagar, Mangadu, Chennai, Tamil Nadu, India.",8000,50000,763,UnFurnished,5-10 years ,All
774,"2 BHK in sivam sakthi, Adambakkam","Ramakrishna Nagar,2nd Main Road, Near Sai Brindavan Apartment And ...",15000,100000,893,Semi Furnished,3-5 years ,Family
775,"3 BHK in Gokulam, Kattupakkam","Royal Garden Main Road, Near Samayapura Mari Amman Temple",15000,90000,1100,Semi Furnished,3-5 years ,All
776,"3 BHK in Landmark Tivoli, Mogappair","Justice Rathnavel Pandian Road, Mogappair, Chennai, Tamil Nadu, I ...",28000,280000,1580,Semi Furnished,3-5 years ,Family
777,1 BHK in Jafferkhanpet,"Independent House, School Street, 5th Cross, Near Indian Bank And ...",5000,20000,400,UnFurnished,1-3 years ,All
778,"2 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",12000,72000,1000,UnFurnished,3-5 years ,Family
779,2 BHK in Ekkatuthangal,"Standalone Building, Lazer Street, Near Mnr Grand",15000,60000,900,Semi Furnished,5-10 years ,All
780,2 BHK in Moulivakkam,"Independent House, Sh 113, Shanmuga Nagar, Near Narayana E-techno ...",11000,110000,1150,Semi Furnished,5-10 years ,Family
781,1 RK in perungudi,"Independent House, Seevaram 3rd Street,near Sspdl Matrix",3500,20000,200,UnFurnished,>10 years ,Bachelors
782,"2 BHK in Venkateswar Flat, Alandur",Eswaran Koil Street Near Alandur Metro Station And Cafe Coffee Da ...,13000,65000,750,UnFurnished,>10 years ,Family
783,"2 BHK in OM Sai Building, Iyyappanthangal,","Krishna Nagar, 4rd Cross Street Near T 15 Srmc Police Station",12000,50000,670,Semi Furnished,3-5 years ,All
784,"1 BHK in Emami Tejomaya, Old Mahabalipuram Road","1/4a,rajiv Gandhi Road, Omr,near Toll Gate, Egatoor, Chennai, Tam ...",12500,70000,498,Semi Furnished,Newly Constructed,All
785,"2 BHK in Kochar Panchsheel, Ambattur","129, Chennai Tiruvallur High Road, Periyar Nagar, Mangalapuram, T ...",19000,100000,1195,Semi Furnished,Newly Constructed,Family
786,"4+ BHK in Shri Janani homes, Navallur","Old Mahabalipuram Rd, Near Ags Cinemas",120000,1000000,4000,Full Furnished,1-3 years ,All
787,"3 BHK in Prestige Bella Vista, Porur","No.1, Mount Poonamalle High Rd, Pushpa Nagar, Iyyappanthangal, Ch ...",36000,200000,1825,Semi Furnished,1-3 years ,Family
788,"2 BHK in Anusha Garden, Madhanandapuram","Mugalivakkam Main Rd, Near Hotel Gopal",10500,50000,900,Semi Furnished,3-5 years ,Family
789,2 BHK in Perungudi,"Independent House, Ambedkar Nagar, Near The Tamil Nadu Dr.ambedka ...",12500,60000,660,UnFurnished,Newly Constructed,Family
790,"2 BHK in LK Aditya, Kalikundram",Near Tidel Park,-,1500000,941,Semi Furnished,3-5 years ,Family
791,"3 BHK in Home Blocs Blossoms, Madipakkam","Ram Nagar South 18th Main Road, Ramnagar South",20000,150000,1400,Full Furnished,3-5 years ,Family
792,"1 BHK in maha apartments, Velachery","Bhuvaneshwari Nagar, Near Chennai Silks",18500,45000,650,Full Furnished,5-10 years ,All
793,"2 BHK in Horizon Apartments, Thiruvottiyur",Rajakadai Near Rohit Hospital,10000,100000,700,UnFurnished,>10 years ,Family
794,"3 BHK in Dlf Commanders Court, Egmore","Ethiraj Salai, Egmore, Chennai-600008, Tamil Nadu, India.",65000,700000,1696,Full Furnished,1-3 years ,Company
795,1 RK in Abhiramapuram,"Independent House, Demonte Colony Near Petrol Pump - Balakrishna ...",6500,50000,250,UnFurnished,>10 years ,Bachelors
796,"3 BHK in SSM Nagar Society, New Perungalathur","Ssm Nagar, Alapakkam Rd, Near Srimathi Sundaravalli Memorial Scho ...",14000,75000,1920,Semi Furnished,Newly Constructed,All
797,1 RK in Kodambakkam,"Standalone Building, Near Sv Bone And Joint Hospital, Susho Samra ...",7000,35000,350,Semi Furnished,5-10 years ,All
798,"2 BHK in Korattur,","Independent House, Brahmin St Periyar Nagar, Near Marriamman Temp ...",8000,50000,600,Semi Furnished,5-10 years ,Family
799,2 BHK in Velachery,"Independent House, 5th Main Rd, Ags Colony, Near Ags Colony Bus S ...",16000,65000,900,UnFurnished,>10 years ,Bachelors
800,"4+ BHK in Lazarus Enclave, Choolai",Avadhanam Papier Rd Near Leo Bakery - Tea Stall,75000,750000,3018,UnFurnished,5-10 years ,All
801,"3 BHK in Sri Guhan Enclave, Kundrathur","11th West Street, Mehta Nagar, Kundrathur, Chennai, Tamil Nadu 60 ...",12000,25000,1188,Semi Furnished,1-3 years ,Family
802,"2 BHK in Apartment, Kilpauk",New Mandapam Rd Near Dr. Regina Nursing Home And Bethel School,-,700000,650,UnFurnished,5-10 years ,Family
803,"3 BHK in Jasmine Court, Poonamallee","Mount Poonamalle High Rd, Muruga Nagar, Poonamallee, Chennai, Tam ...",20000,200000,1529,Semi Furnished,5-10 years ,All
804,"2 BHK in Jain Amrit, Perungudi","Panchayat Road,thirumalai Nagar ,near Selva Vinayagar Alayam And ...",20000,100000,945,UnFurnished,>10 years ,Family
805,3 BHK in Iyyappanthangal,"Independent House, Mahalakshmi Nagar, Near Srinivasa Kalyana Man ...",15000,150000,1450,UnFurnished,1-3 years ,All
806,"3 BHK in Sree Sai Balaji Apartments, Velachery","Nethaji Street, Astalakshmi Nagar,near Ramiyam Flats And Phoenix ...",21000,100000,1600,Semi Furnished,5-10 years ,All
807,"3 BHK in JP Towers, Nungambakkam","Dr Thirumoorthy Nagar Main Rd, Near Anjappar Chettinad Restaurant ...",41000,240000,1575,Semi Furnished,>10 years ,All
808,"2 BHK in Lemon Grass Apartmnt, Ramapuram","Poothapedu Main Road,nsc Bose Nagar,near Vignesh Hospital",17000,150000,949,UnFurnished,1-3 years ,Family
809,2 BHK in Thiruvanmiyur,"Independent House, Lb Road Kamaraj Nagar, Near Bsnl Office And Sr ...",25000,250000,1050,Semi Furnished,Newly Constructed,All
810,2 BHK in Velachery,"Standalone Building, Velachery Rd, Near The Chennai Silks",16000,90000,900,Semi Furnished,5-10 years ,Family
811,"3 BHK in Bbcl Ashraya, Thoraipakkam","Pillaiyar Koil Street, Thoraipakkam, Omr, Chennai , Tamil Nadu, I ...",22000,132000,1140,Semi Furnished,Newly Constructed,Family
812,"3 BHK in Ssm Nagar, Perungalathur","Alappakam, New Perungalathur, Chennai, Tamil Nadu, India.",12000,75000,1920,Semi Furnished,Newly Constructed,All
813,"2 BHK in Majestic Shore, Kodambakkam",Choolaimedu High Road Near Kodambakkam Puliyur Masjid,25000,100000,850,Semi Furnished,3-5 years ,Family
814,"2 BHK in Sri Balaji Flats, Chitlapakkam",Near Punjab National Bank,10000,100000,900,Semi Furnished,1-3 years ,Family
815,"2 BHK in karthigai flats, Selaiyur","Nellur Amman Koil Street, Near Nellur Amman Koil",13000,60000,850,UnFurnished,3-5 years ,Family
816,1 BHK in Medavakkam,"Standalone Building, Erikarai St Near New Prince Shri Bhavani Art ...",7000,35000,700,UnFurnished,Newly Constructed,Family
817,"1 BHK in kamalesh, New Perungalathur","Nethaji Street, Srinivasa Nagar, Near Srinivasa Perumal Temple",7900,30000,700,UnFurnished,1-3 years ,All
818,3 BHK in Ayanambakkam,"Independent House, Plot 19, Aishwarya Nagar ,near Sun Stone Appar ...",24500,150000,2300,Semi Furnished,Newly Constructed,Family
819,"3 BHK in Bollineni Hillside, Sithalapakkam","Perumbakkam Road, Nookampalayam, Arasankazhani, Sithalapakkam, Ch ...",20000,120000,1250,Semi Furnished,3-5 years ,Family
820,"3 BHK in Sri Dattatreya's, Choolaimedu","Choolaimedu High Rd, Opp Aavin Dairy Store",27500,150000,1250,Semi Furnished,1-3 years ,Family
821,1 RK in Villivakkam,"Independent House, Ramakrishna Nagar, Near Goodwill School",7000,50000,550,UnFurnished,>10 years ,Family
822,"3 BHK in Ceebros River Heights, Nungambakkam","Ceebros River Heights, 315, Valluvar Kottam High Rd, Nungambakkam ...",50000,500000,1500,Semi Furnished,>10 years ,All
823,1 BHK in Korattur,"Standalone Building, Annai Rajammal Nagar 1st Street Near Allianc ...",9000,90000,500,Semi Furnished,1-3 years ,Family
824,"3 BHK in SM Builders, Pallavaram","Abdul Farook Shahib, Street, Near Lakshmi Palace",16000,160000,900,UnFurnished,1-3 years ,Family
825,2 BHK in Alwarthirunagar,"Standalone Building, Near Lamech School",12000,60000,900,Semi Furnished,>10 years ,Family
826,2 BHK in Porur,"Independent House, Kumudam Nagar, Mugalivakkam Main Road, Near Ke ...",10000,50000,520,UnFurnished,5-10 years ,Family
827,4+ BHK in Chetpet,"Independent House, Nowroji Road Near Taylors Road Bus Stop",125000,800000,4400,Semi Furnished,5-10 years ,All
828,2 BHK in Annanagar East,"Standalone Building, Koyambedu Near Palamuthir Cholai Fruit Shop ...",16000,100000,700,Semi Furnished,>10 years ,All
829,"3 BHK in VL Makes Apartment, Kovilambakkam","Kavimani Nagar 4th St, Near E.c.i Church Kovilambakkam And Kovila ...",15000,75000,1400,Semi Furnished,Newly Constructed,Family
830,3 BHK in Ambattur,"Independent House, Banu Nagar West, 20th Avenue, Near Annai Viole ...",25000,200000,1800,Semi Furnished,5-10 years ,All
831,"4 BHK in Maxworth Nagar, Nr.Pallikaranai","Standalone Building, Pallikaranai,maxworth Nagar Street, Near Jon ...",25000,150000,3200,Full Furnished,Newly Constructed,Family
832,1 RK in T Nagar,"Independent House, Giriyappa Rd Near Chennai Corporation Public S ...",7000,15000,250,UnFurnished,5-10 years ,Bachelors
833,"3 BHK in Kg Signature City Phase I, Mogappair","200 Feet Bypass Road, Maduravoyal Ambattur Road, Off Poonamalee R ...",21050,100000,1230,Semi Furnished,1-3 years ,Family
834,"1 BHK in sakthi appartment, Ullagaram, Madipakkam","Draupadi Amman Koil St, Near S R K Mahal",7500,30000,520,UnFurnished,3-5 years ,Family
835,"3 BHK in S and P Living Spaces, Ayanambakkam",Mel Ayanambakkam Main Rd Near Velammal Vidhyalaya Indoor Stadium,12000,100000,1222,UnFurnished,1-3 years ,All
836,"3 BHK in VL Makes Homes Privte Ltd, Kovilambakkam",Vedachalam Nagar Near Kovilambakkam Panchayat Office,13500,75000,1250,Semi Furnished,1-3 years ,Family
837,1 BHK in Chintadripet,"Standalone Building, Swamy Naicken St, Near Chintadripet Sub Post ...",7500,75000,350,UnFurnished,Newly Constructed,Family
838,2 BHK in Kolathur,"Standalone Building, 4th St,krishna Nagar, Near State Bank Of Ind ...",8500,40000,1000,UnFurnished,1-3 years ,Family
839,"2 BHK in prem castle, Irumbuliyur","Gayathri Nagar, Near The Pentecostal Mission",13000,50000,935,Semi Furnished,Newly Constructed,All
840,1 BHK in Ambattur Industrial Estate,"Standalone Building, Mogappair West Near Green Valley Matriculati ...",7000,36000,700,UnFurnished,>10 years ,All
841,"2 BHK in Rahul KSV Villa, Ambattur","Indian Bank Colony,2nd Main Rd Near Lic Zonal Training Centre",7800,46800,675,UnFurnished,5-10 years ,Family
842,"2 BHK in Asta Avm, Vadapalani","Avm Studios Complex, Arcot Rd, Ottagapalayam, Kannika Puram, Vada ...",30000,300000,1163,UnFurnished,Newly Constructed,Family
843,3 BHK in Mylapore,"Standalone Building, Tsv Koil Street, Near Renuka Parameswari Tem ...",25000,200000,900,UnFurnished,>10 years ,All
844,1 BHK in Mylapore,"Standalone Building, Tsv Koil Street, Near Renuka Parameswari Tem ...",13000,130000,500,UnFurnished,>10 years ,All
845,"3 BHK in Mayura, Adyar",Kasturba Nagar Near Cafe Coffee Day,100000,1000000,2400,Full Furnished,5-10 years ,Family
846,1 BHK in Royapettah,"Independent House, Gazette Begum Street, Near The Crescent Hospit ...",7000,40000,350,UnFurnished,>10 years ,All
847,2 BHK in Nesapakkam,"Standalone Building, Ramapuram, Raghavendra Nagar Near Narayana E ...",15000,100000,865,Semi Furnished,3-5 years ,Family
848,1 BHK in Kanathur,"Independent House, Uthandi,near Aavin Milk Booth",-,350000,650,UnFurnished,5-10 years ,All
849,1 BHK in Chromepet,"Independent House, Station Rd, Radha Nagar, Near Sri Varasithy V ...",6000,30000,400,UnFurnished,>10 years ,Bachelors
850,2 BHK in New Perungalathur,"Independent House, Bharathidasan Street ,near St. John's Matricul ...",12000,72000,1000,Semi Furnished,>10 years ,All
851,3 BHK in Velachery,"Independent House, 100 Feet Bye Pass Road, Near Sri Murugan Mar ...",15000,60000,1200,UnFurnished,5-10 years ,Bachelors
852,1 BHK in Purasaiwakkam,"Independent House, Solaiamman Koil Lane Near Madharsha And Sons",9000,90000,600,UnFurnished,>10 years ,Family
853,2 BHK in Kottivakkam,"Independent House, Kamarajar Salai,near Kottivakkam Ag Church",20000,120000,1100,Semi Furnished,>10 years ,Family
854,3 BHK in Valasaravakkam,"Independent House, Rukmani Nagar, Near Spp Gardens",18000,125000,1500,UnFurnished,3-5 years ,All
855,"2 BHK in Sri Ishwaryam Homes, Selaiyur","Rickgarden,near Sai Baba Temple",10000,60000,900,Semi Furnished,1-3 years ,Family
856,2 BHK in Perambur,"Standalone Building, Bb Rd Near S K Mahal",9500,90000,850,Semi Furnished,>10 years ,Family
857,"3 BHK in Ozone Greens, Medavakkam",Vgp Prabhu Nagar Near Femina Super Market,25000,200000,1751,Semi Furnished,Newly Constructed,Family
858,3 BHK in Taramani,"Independent House, Madhya Kailash Near Kendriya Vidyalaya Clri",45000,450000,2150,Semi Furnished,Newly Constructed,Family
859,2 BHK in Porur,"Standalone Building, Sakthi Sairam Stree,near Rajiv School Of Exc ...",10000,60000,800,Semi Furnished,>10 years ,Family
860,2 BHK in Kolathur,"Standalone Building, Near Drj Hospital",11000,80000,900,UnFurnished,1-3 years ,Family
861,"2 BHK in Foamra Sri Bhuvanam, Nolambur","Kannadasan Salai, Near Mmm Academy Of Medical Sciences And Nolamb ...",17000,70000,1124,Semi Furnished,Newly Constructed,Family
862,"3 BHK in WOW by Urban Tree, Soumya Nagar,Medavakkam","Sowmya Nagar, 2nd Main Road, Medavakkam, Chennai",15000,100000,1096,Semi Furnished,Newly Constructed,Family
863,"2 BHK in Ragini apartment, Madipakkam","Medavakkam Main Road, Senthuran Colony,near Karthik Hospital",15000,100000,900,Semi Furnished,5-10 years ,Family
864,"2 BHK in SELVAGANAPATHY NIVAS, Selaiyur","Valayapathi St Near Apollo Pharmacy, & Ganesh Nagar Park",12000,60000,800,Semi Furnished,Newly Constructed,Family
865,"2 BHK in Anna Street, Ram Nagar, Ambattur, Chennai, Tamil Nadu, I ...","Independent House, Red Hills Road, Near Rakki Cinemas",10000,50000,900,Semi Furnished,>10 years ,Family
866,"2 BHK in Olympia Opaline, Navallur","Coromandel Plaza, Old Mahabalipuram Rd Near Ags Cinemas",17000,80000,980,Semi Furnished,1-3 years ,All
867,"2 BHK in TVS Emerald Green Hills, New Perungalathur","345/2b, Ngo Nagar Extn. Nedungundram, Near East Tambaram, Chennai ...",12000,72000,963,Semi Furnished,3-5 years ,Family
868,3 BHK in Thiruvanmiyur,"Independent House, Dr.radhakrishna Main Rd, Near Atrium",40000,240000,1550,Semi Furnished,Newly Constructed,Family
869,"2 BHK in Daffodils, Perumbakkam","Cheran Nagar, Near Gleneagles Global Health City",14500,125000,1100,Semi Furnished,1-3 years ,Family
870,"2 BHK in GRC Rajfort, Poonamallee","3rd Cross Street, Kandaswamy Nagar, Near Shell",18000,120000,955,Full Furnished,1-3 years ,All
871,"2 BHK in Sri Krishna Flats, Ramapuram",Near Srm University,16500,100000,940,Semi Furnished,Newly Constructed,Family
872,2 BHK in Perambur,"Standalone Building, Near Corpration Office, Jawahar Nagar",17000,100000,1220,UnFurnished,5-10 years ,Family
873,"2 BHK in Rajesh Yamuna Flats, Tambaram","Periyalwar St,near Bharathi Play School",11250,55000,1003,Semi Furnished,>10 years ,Family
874,"4 BHK in Vijay Shanthi Rain Forest, Kilpauk","Rain Forest Apartment, Dno.57 (new 26) Taylors Road, Rems Street, ...",150000,1500000,3350,UnFurnished,Newly Constructed,Family
875,1 BHK in Perungudi,"Standalone Building, Veera Vanchinathan Nagar, 1st Cross Near New ...",7000,35000,500,Semi Furnished,5-10 years ,Family
876,"2 BHK in Aiswarya Apartment, Kodambakkam",Trustpuram Behind Hotel Hollywood,30000,300000,1050,Semi Furnished,3-5 years ,Family
877,3 BHK in Kottivakkam,"Independent House, Near Nellai Nadar Matric School",45000,270000,2000,Semi Furnished,1-3 years ,Family
878,1 BHK in Mugappair West,"Independent House, 3rd Block, Near Reliance Digital",-,500000,468,Semi Furnished,5-10 years ,Family
879,"2 BHK in Sri Rama Flats, Madipakkam","Ram Nagar, Near Sri Oppiliappan Ramar Koil",10000,50000,675,UnFurnished,3-5 years ,Family
